Model No/Name,Size,Stock Qty, Price 
A65,6 inch,80, ? 95.00 
A66,6 inch,80, ? 95.00 
A64,6 inch,80, ? 95.00 
A61,7 inch,80, ? 105.00 
A62,7 inch,80, ? 105.00 
A63,7 inch,80, ? 105.00 
A59,8 inch,80, ? 145.00 
A60,8 inch,80, ? 145.00 
A28,9 inch,60, ? 185.00 
P27,9 inch,60, ? 185.00 
A29,9 inch,60, ? 185.00 
P26,9 inch,63, ? 185.00 
A30,10 inch,58, ? 230.00 
A27,10 inch,60, ? 230.00 
P30,10 inch,63, ? 230.00 
A26,11 inch,60, ? 260.00 
A25,11 inch,60, ? 260.00 
P29,11 inch,63, ? 260.00 
A31,11 inch,59, ? 260.00 
A58,11 inch,62, ? 260.00 
A32,12 inch,59, ? 330.00 
A33,12 inch,59, ? 330.00 
A57,12 inch,62, ? 330.00 
A36,12 inch,58, ? 330.00 
A34,12 inch,56, ? 330.00 
A37,13 inch,56, ? 390.00 
A38,13 inch,58, ? 390.00 
A10,13 inch,51, ? 390.00 
A11,13 inch,60, ? 435.00 
A13,13 inch,59, ? 435.00 
A12,13 inch,50, ? 435.00 
A55,13 inch,61, ? 435.00 
A56,13 inch,62, ? 435.00 
A41,14 inch,50, ? 530.00 
A53,14 inch,40, ? 530.00 
A40,14 inch,56, ? 530.00 
A54,14 inch,62, ? 530.00 
A42,14 inch,59, ? 530.00 
A43,15 inch,50, ? 610.00 
A44,15 inch,50, ? 610.00 
A14,15 inch,40, ? 610.00 
A45,16 inch,39, ? 760.00 
A52,16 inch,40, ? 760.00 
A51,16 inch,40, ? 760.00 
A47,16 inch,35, ? 760.00 
लालबाग,17 inch,50, ? 820.00 
A46,17 inch,35, ? 820.00 
94,17 inch,34, ? 820.00 
A48,17 inch,35, ? 820.00 
A50,19 inch,35, ? 920.00 
14 B,19 inch,40, ? 920.00 
ओम,19 inch,34, ? 960.00 
8 B,19 inch,40, ? 960.00 
विठ्ठल,20 inch,40," ? 1,050.00 "
12 B,20 inch,40," ? 1,150.00 "
92,20 inch,30," ? 1,150.00 "
नंदी,2 feet,10," ? 1,600.00 "
लालबाग(2 feet),2 feet,20," ? 1,700.00 "
91 उंदीर,2 feet,20," ? 1,600.00 "
दगडु,2 feet,10," ? 1,700.00 "
